Name,Kingdom,Phylum,Class,Order,Family,Genus,Species,Strain,251_CP04618_S118,252_CP04618_S119,253_CP04618_S120,254_CP04618_S150,255_CP04618_merge,256_CP04618_S121,257_CP04618_merge,258_CP04618_merge,259_CP04618_S122,260_CP04618_S154,261_CP04618_S123,262_CP04618_S124,263_CP04618_S155,264_CP04618_S125,265_CP04618_S126,266_CP04618_S156,267_CP04618_merge,268_CP04618_S127,269_CP04618_S128,270_CP04618_merge,271_CP04618_merge,272_CP04618_S160,273_CP04618_S129,274_CP04618_S130,Taxonomy Id,Taxonomy Lineage
Actinomyces graevenitzii F0530,Bacteria,Actinobacteria,Actinomycetia,Actinomycetales,Actinomycetaceae,Actinomyces,Actinomyces graevenitzii,Actinomyces graevenitzii F0530,0,0,337.07,0,0,1745.71,407.02,0,2344.44,157.64,0,520.3,0,0,594.13,107.91,0,0,749.74,1355.12,0,0,0,0,1321817,k__Bacteria(2);p__Actinobacteria(201174);c__Actinomycetia(1760);o__Actinomycetales(2037);f__Actinomycetaceae(2049);g__Actinomyces(1654);s__Actinomyces graevenitzii(55565);t__Actinomyces graevenitzii F0530(1321817);
Actinomyces israelii DSM 43320,Bacteria,Actinobacteria,Actinomycetia,Actinomycetales,Actinomycetaceae,Actinomyces,Actinomyces israelii,Actinomyces israelii DSM 43320,0,0,0,0,0,195.55,0,0,671.5,0,0,0,0,0,0,0,0,0,0,77.01,0,0,0,0,1120944,k__Bacteria(2);p__Actinobacteria(201174);c__Actinomycetia(1760);o__Actinomycetales(2037);f__Actinomycetaceae(2049);g__Actinomyces(1654);s__Actinomyces israelii(1659);t__Actinomyces israelii DSM 43320(1120944);
Actinomyces johnsonii,Bacteria,Actinobacteria,Actinomycetia,Actinomycetales,Actinomycetaceae,Actinomyces,Actinomyces johnsonii,Actinomyces johnsonii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91.83,0,0,0,0,0,544581,k__Bacteria(2);p__Actinobacteria(201174);c__Actinomycetia(1760);o__Actinomycetales(2037);f__Actinomycetaceae(2049);g__Actinomyces(1654);s__Actinomyces johnsonii(544581);t__Actinomyces johnsonii(544581);
Actinomyces johnsonii F0510,Bacteria,Actinobacteria,Actinomycetia,Actinomycetales,Actinomycetaceae,Actinomyces,Actinomyces johnsonii,Actinomyces johnsonii F0510,0,0,0,0,0,2577.43,87.64,0,205.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1227262,k__Bacteria(2);p__Actinobacteria(201174);c__Actinomycetia(1760);o__Actinomycetales(2037);f__Actinomycetaceae(2049);g__Actinomyces(1654);s__Actinomyces johnsonii(544581);t__Actinomyces johnsonii F0510(1227262);
Actinomyces johnsonii F0542,Bacteria,Actinobacteria,Actinomycetia,Actinomycetales,Actinomycetaceae,Actinomyces,Actinomyces johnsonii,Actinomyces johnsonii F0542,0,0,1416.93,312.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1321818,k__Bacteria(2);p__Actinobacteria(201174);c__Actinomycetia(1760);o__Actinomycetales(2037);f__Actinomycetaceae(2049);g__Actinomyces(1654);s__Actinomyces johnsonii(544581);t__Actinomyces johnsonii F0542(1321818);
Actinomyces massiliensis,Bacteria,Actinobacteria,Actinomycetia,Actinomycetales,Actinomycetaceae,Actinomyces,Actinomyces massiliensis,Actinomyces massiliensis,0,0,0,169.09,0,0,273.06,91.13,0,0,0,0,0,0,0,0,0,0,88.69,97.93,0,0,0,0,461393,k__Bacteria(2);p__Actinobacteria(201174);c__Actinomycetia(1760);o__Actinomycetales(2037);f__Actinomycetaceae(2049);g__Actinomyces(1654);s__Actinomyces massiliensis(461393);t__Actinomyces massiliensis(461393);
Actinomyces massiliensis 4401292,Bacteria,Actinobacteria,Actinomycetia,Actinomycetales,Actinomycetaceae,Actinomyces,Actinomyces massiliensis,Actinomyces massiliensis 4401292,0,0,0,0,0,0,0,0,267.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1167628,k__Bacteria(2);p__Actinobacteria(201174);c__Actinomycetia(1760);o__Actinomycetales(2037);f__Actinomycetaceae(2049);g__Actinomyces(1654);s__Actinomyces massiliensis(461393);t__Actinomyces massiliensis 4401292(1167628);
Actinomyces massiliensis F0489,Bacteria,Actinobacteria,Actinomycetia,Actinomycetales,Actinomycetaceae,Actinomyces,Actinomyces massiliensis,Actinomyces massiliensis F0489,0,0,296.15,0,0,2177.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1125718,k__Bacteria(2);p__Actinobacteria(201174);c__Actinomycetia(1760);o__Actinomycetales(2037);f__Actinomycetaceae(2049);g__Actinomyces(1654);s__Actinomyces massiliensis(461393);t__Actinomyces massiliensis F0489(1125718);
Actinomyces naeslundii str. Howell 279,Bacteria,Actinobacteria,Actinomycetia,Actinomycetales,Actinomycetaceae,Actinomyces,Actinomyces naeslundii,Actinomyces naeslundii str. Howell 279,0,0,2976.27,483.58,0,8594.22,134.42,0,800.74,0,0,0,0,0,0,0,0,0,294.88,177.74,0,0,0,0,1115803,k__Bacteria(2);p__Actinobacteria(201174);c__Actinomycetia(1760);o__Actinomycetales(2037);f__Actinomycetaceae(2049);g__Actinomyces(1654);s__Actinomyces naeslundii(1655);t__Actinomyces naeslundii str. Howell 279(1115803);
Schaalia odontolytica,Bacteria,Actinobacteria,Actinomycetia,Actinomycetales,Actinomycetaceae,Schaalia,Schaalia odontolytica,Schaalia odontolytica,0,0,0,0,77.33,0,0,0,0,114.11,0,194.36,0,0,0,95.64,0,0,0,0,0,0,0,0,1660,k__Bacteria(2);p__Actinobacteria(201174);c__Actinomycetia(1760);o__Actinomycetales(2037);f__Actinomycetaceae(2049);g__Schaalia(2529408);s__Schaalia odontolytica(1660);t__Schaalia odontolytica(1660);
Schaalia odontolytica ATCC 17982,Bacteria,Actinobacteria,Actinomycetia,Actinomycetales,Actinomycetaceae,Schaalia,Schaalia odontolytica,Schaalia odontolytica ATCC 17982,0,0,1077.84,325.63,0,5746.8,667.45,368.62,0,0,0,0,0,0,795.38,0,0,0,401.36,524.78,0,0,0,0,411466,k__Bacteria(2);p__Actinobacteria(201174);c__Actinomycetia(1760);o__Actinomycetales(2037);f__Actinomycetaceae(2049);g__Schaalia(2529408);s__Schaalia odontolytica(1660);t__Schaalia odontolytica ATCC 17982(411466);
Schaalia odontolytica F0309,Bacteria,Actinobacteria,Actinomycetia,Actinomycetales,Actinomycetaceae,Schaalia,Schaalia odontolytica,Schaalia odontolytica F0309,0,0,0,0,0,0,0,0,773.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,649742,k__Bacteria(2);p__Actinobacteria(201174);c__Actinomycetia(1760);o__Actinomycetales(2037);f__Actinomycetaceae(2049);g__Schaalia(2529408);s__Schaalia odontolytica(1660);t__Schaalia odontolytica F0309(649742);
Actinomyces oris K20,Bacteria,Actinobacteria,Actinomycetia,Actinomycetales,Actinomycetaceae,Actinomyces,Actinomyces oris,Actinomyces oris K20,0,0,2552.91,339.78,0,4332.6,916.59,0,1837.54,0,0,192,0,0,0,0,0,0,430.61,0,0,0,0,0,871541,k__Bacteria(2);p__Actinobacteria(201174);c__Actinomycetia(1760);o__Actinomycetales(2037);f__Actinomycetaceae(2049);g__Actinomyces(1654);s__Actinomyces oris(544580);t__Actinomyces oris K20(871541);
Actinomyces sp. HMSC035G02,Bacteria,Actinobacteria,Actinomycetia,Actinomycetales,Actinomycetaceae,Actinomyces,Actinomyces_u_s,Actinomyces sp. HMSC035G02,0,173.48,0,0,0,13486.74,2379.27,2173.49,0,0,0,0,0,0,4625.02,631.74,498.78,281.53,0,0,0,0,0,0,1739406,k__Bacteria(2);p__Actinobacteria(201174);c__Actinomycetia(1760);o__Actinomycetales(2037);f__Actinomycetaceae(2049);g__Actinomyces(1654);s__Actinomyces_u_s(1654);t__Actinomyces sp. HMSC035G02(1739406);
Actinomyces sp. ICM47,Bacteria,Actinobacteria,Actinomycetia,Actinomycetales,Actinomycetaceae,Actinomyces,Actinomyces_u_s,Actinomyces sp. ICM47,0,0,0,1505.62,265.06,0,0,0,11004.24,1987.37,0,1555.21,98.57,0,0,0,0,0,1994.08,3096.92,100.88,97.86,0,132.13,936548,k__Bacteria(2);p__Actinobacteria(201174);c__Actinomycetia(1760);o__Actinomycetales(2037);f__Actinomycetaceae(2049);g__Actinomyces(1654);s__Actinomyces_u_s(1654);t__Actinomyces sp. ICM47(936548);
Actinomyces sp. oral taxon 170 str. F0386,Bacteria,Actinobacteria,Actinomycetia,Actinomycetales,Actinomycetaceae,Actinomyces,Actinomyces_u_s,Actinomyces sp. oral taxon 170 str. F0386,0,0,6688.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,762963,k__Bacteria(2);p__Actinobacteria(201174);c__Actinomycetia(1760);o__Actinomycetales(2037);f__Actinomycetaceae(2049);g__Actinomyces(1654);s__Actinomyces_u_s(1654);t__Actinomyces sp. oral taxon 170 str. F0386(762963);
Actinomyces timonensis DSM 23838,Bacteria,Actinobacteria,Actinomycetia,Actinomycetales,Actinomycetaceae,Actinomyces,Actinomyces timonensis,Actinomyces timonensis DSM 23838,0,0,0,0,0,0,0,0,336.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,521393,k__Bacteria(2);p__Actinobacteria(201174);c__Actinomycetia(1760);o__Actinomycetales(2037);f__Actinomycetaceae(2049);g__Actinomyces(1654);s__Actinomyces timonensis(1288391);t__Actinomyces timonensis DSM 23838(521393);
Actinomyces viscosus C505,Bacteria,Actinobacteria,Actinomycetia,Actinomycetales,Actinomycetaceae,Actinomyces,Actinomyces viscosus,Actinomyces viscosus C505,0,0,3583.63,474.52,0,7838.01,1577.53,251.56,4398.06,0,0,0,0,0,232.19,0,0,0,643.94,0,0,0,0,0,562973,k__Bacteria(2);p__Actinobacteria(201174);c__Actinomycetia(1760);o__Actinomycetales(2037);f__Actinomycetaceae(2049);g__Actinomyces(1654);s__Actinomyces viscosus(1656);t__Actinomyces viscosus C505(562973);
Peptidiphaga gingivicola,Bacteria,Actinobacteria,Actinomycetia,Actinomycetales,Actinomycetaceae,Peptidiphaga,Peptidiphaga gingivicola,Peptidiphaga gingivicola,0,0,0,0,0,486.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2741497,k__Bacteria(2);p__Actinobacteria(201174);c__Actinomycetia(1760);o__Actinomycetales(2037);f__Actinomycetaceae(2049);g__Peptidiphaga(2739835);s__Peptidiphaga gingivicola(2741497);t__Peptidiphaga gingivicola(2741497);
Actinomycetaceae bacterium,Bacteria,Actinobacteria,Actinomycetia,Actinomycetales,Actinomycetaceae,Actinomycetaceae_u_g,Actinomycetaceae_u_s,Actinomycetaceae bacterium,0,0,827.42,0,0,354.85,0,0,686.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1898202,k__Bacteria(2);p__Actinobacteria(201174);c__Actinomycetia(1760);o__Actinomycetales(2037);f__Actinomycetaceae(2049);g__Actinomycetaceae_u_g(2049);s__Actinomycetaceae_u_s(2049);t__Actinomycetaceae bacterium(1898202);
Adlercreutzia equolifaciens DSM 19450,Bacteria,Actinobacteria,Coriobacteriia,Eggerthellales,Eggerthellaceae,Adlercreutzia,Adlercreutzia equolifaciens,Adlercreutzia equolifaciens DSM 19450,0,0,0,130.26,0,0,0,1118.46,0,0,0,0,1937.14,1098.53,0,0,0,0,0,0,0,0,0,0,1384484,k__Bacteria(2);p__Actinobacteria(201174);c__Coriobacteriia(84998);o__Eggerthellales(1643822);f__Eggerthellaceae(1643826);g__Adlercreutzia(447020);s__Adlercreutzia equolifaciens(446660);t__Adlercreutzia equolifaciens DSM 19450(1384484);
Agathobaculum butyriciproducens,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Agathobaculum,Agathobaculum butyriciproducens,Agathobaculum butyriciproducens,0,0,0,0,0,0,0,2302.33,0,848.67,2102.8,0,0,0,0,0,748.03,698.17,0,0,0,0,709.37,0,1628085,k__Bacteria(2);p__Firmicutes(1239);c__Clostridia(186801);o__Clostridiales(186802);f__Ruminococcaceae(541000);g__Agathobaculum(2048137);s__Agathobaculum butyriciproducens(1628085);t__Agathobaculum butyriciproducens(1628085);
Aggregatibacter aphrophilus,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Aggregatibacter,Aggregatibacter aphrophilus,Aggregatibacter aphrophilus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.47,0,0,0,0,0,732,k__Bacteria(2);p__Proteobacteria(1224);c__Gammaproteobacteria(1236);o__Pasteurellales(135625);f__Pasteurellaceae(712);g__Aggregatibacter(416916);s__Aggregatibacter aphrophilus(732);t__Aggregatibacter aphrophilus(732);
Aggregatibacter aphrophilus ATCC 33389,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Aggregatibacter,Aggregatibacter aphrophilus,Aggregatibacter aphrophilus ATCC 33389,0,0,181.04,0,0,0,0,0,112.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,985008,k__Bacteria(2);p__Proteobacteria(1224);c__Gammaproteobacteria(1236);o__Pasteurellales(135625);f__Pasteurellaceae(712);g__Aggregatibacter(416916);s__Aggregatibacter aphrophilus(732);t__Aggregatibacter aphrophilus ATCC 33389(985008);
Aggregatibacter segnis ATCC 33393,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Aggregatibacter,Aggregatibacter segnis,Aggregatibacter segnis ATCC 33393,0,0,128.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,888057,k__Bacteria(2);p__Proteobacteria(1224);c__Gammaproteobacteria(1236);o__Pasteurellales(135625);f__Pasteurellaceae(712);g__Aggregatibacter(416916);s__Aggregatibacter segnis(739);t__Aggregatibacter segnis ATCC 33393(888057);
Aggregatibacter sp. oral taxon 458 str. W10330,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Aggregatibacter,Aggregatibacter_u_s,Aggregatibacter sp. oral taxon 458 str. W10330,0,0,109.95,0,0,0,0,0,111.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1321772,k__Bacteria(2);p__Proteobacteria(1224);c__Gammaproteobacteria(1236);o__Pasteurellales(135625);f__Pasteurellaceae(712);g__Aggregatibacter(416916);s__Aggregatibacter_u_s(416916);t__Aggregatibacter sp. oral taxon 458 str. W10330(1321772);
Akkermansia muciniphila,Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Akkermansiaceae,Akkermansia,Akkermansia muciniphila,Akkermansia muciniphila,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1134.67,0,2164,239935,k__Bacteria(2);p__Verrucomicrobia(74201);c__Verrucomicrobiae(203494);o__Verrucomicrobiales(48461);f__Akkermansiaceae(1647988);g__Akkermansia(239934);s__Akkermansia muciniphila(239935);t__Akkermansia muciniphila(239935);
Akkermansia muciniphila ATCC BAA-835,Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Akkermansiaceae,Akkermansia,Akkermansia muciniphila,Akkermansia muciniphila ATCC BAA-835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,456.87,0,349741,k__Bacteria(2);p__Verrucomicrobia(74201);c__Verrucomicrobiae(203494);o__Verrucomicrobiales(48461);f__Akkermansiaceae(1647988);g__Akkermansia(239934);s__Akkermansia muciniphila(239935);t__Akkermansia muciniphila ATCC BAA-835(349741);
Bacteria_u_t,Bacteria,Bacteria_u_p,Bacteria_u_c,Bacteria_u_o,Bacteria_u_f,Bacteria_u_g,Bacteria_u_s,Bacteria_u_t,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119.08,0,0,0,2,k__Bacteria(2);p__Bacteria_u_p(2);c__Bacteria_u_c(2);o__Bacteria_u_o(2);f__Bacteria_u_f(2);g__Bacteria_u_g(2);s__Bacteria_u_s(2);t__Bacteria_u_t(2);
Alistipes finegoldii DSM 17242,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,Alistipes finegoldii,Alistipes finegoldii DSM 17242,0,0,0,0,0,0,0,0,0,0,0,0,299.76,192.33,0,0,139.83,0,0,0,0,0,324.52,1057.03,679935,k__Bacteria(2);p__Bacteroidetes(976);c__Bacteroidia(200643);o__Bacteroidales(171549);f__Rikenellaceae(171550);g__Alistipes(239759);s__Alistipes finegoldii(214856);t__Alistipes finegoldii DSM 17242(679935);
Alistipes indistinctus YIT 12060,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,Alistipes indistinctus,Alistipes indistinctus YIT 12060,0,0,0,0,0,0,0,0,0,0,0,0,697.04,0,0,0,0,0,0,0,0,0,0,0,742725,k__Bacteria(2);p__Bacteroidetes(976);c__Bacteroidia(200643);o__Bacteroidales(171549);f__Rikenellaceae(171550);g__Alistipes(239759);s__Alistipes indistinctus(626932);t__Alistipes indistinctus YIT 12060(742725);
Alistipes onderdonkii WAL 8169 = DSM 19147,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,Alistipes onderdonkii,Alistipes onderdonkii WAL 8169 = DSM 19147,0,0,0,0,0,0,0,0,0,0,417.08,0,0,0,0,0,0,0,0,0,0,0,0,261.58,1203611,k__Bacteria(2);p__Bacteroidetes(976);c__Bacteroidia(200643);o__Bacteroidales(171549);f__Rikenellaceae(171550);g__Alistipes(239759);s__Alistipes onderdonkii(328813);t__Alistipes onderdonkii WAL 8169 = DSM 19147(1203611);
Alistipes putredinis DSM 17216,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,Alistipes putredinis,Alistipes putredinis DSM 17216,0,0,0,0,0,0,0,0,0,0,5009.42,0,1608.82,399.25,0,2442.9,9454.03,3606.1,0,0,148.12,252.28,823.54,1315.73,445970,k__Bacteria(2);p__Bacteroidetes(976);c__Bacteroidia(200643);o__Bacteroidales(171549);f__Rikenellaceae(171550);g__Alistipes(239759);s__Alistipes putredinis(28117);t__Alistipes putredinis DSM 17216(445970);
Alistipes shahii WAL 8301,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,Alistipes shahii,Alistipes shahii WAL 8301,0,0,0,0,0,0,0,194.6,0,0,855.81,0,0,0,0,224.46,1702.91,331.3,0,0,0,0,228.98,541.53,717959,k__Bacteria(2);p__Bacteroidetes(976);c__Bacteroidia(200643);o__Bacteroidales(171549);f__Rikenellaceae(171550);g__Alistipes(239759);s__Alistipes shahii(328814);t__Alistipes shahii WAL 8301(717959);
Alistipes communis,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,Alistipes communis,Alistipes communis,0,0,0,0,0,0,0,1346.71,0,0,1649.04,0,0,0,0,213.41,843.28,241.16,0,0,0,0,0,101.44,2585118,k__Bacteria(2);p__Bacteroidetes(976);c__Bacteroidia(200643);o__Bacteroidales(171549);f__Rikenellaceae(171550);g__Alistipes(239759);s__Alistipes communis(2585118);t__Alistipes communis(2585118);
Alistipes sp. AF14-19,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,Alistipes_u_s,Alistipes sp. AF14-19,0,0,0,0,0,0,0,0,0,0,871.41,0,634.15,322.56,0,0,1841.2,376.6,0,0,0,0,243.32,0,2292910,k__Bacteria(2);p__Bacteroidetes(976);c__Bacteroidia(200643);o__Bacteroidales(171549);f__Rikenellaceae(171550);g__Alistipes(239759);s__Alistipes_u_s(239759);t__Alistipes sp. AF14-19(2292910);
Alistipes sp. AF17-16,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,Alistipes_u_s,Alistipes sp. AF17-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180.26,0,0,2292190,k__Bacteria(2);p__Bacteroidetes(976);c__Bacteroidia(200643);o__Bacteroidales(171549);f__Rikenellaceae(171550);g__Alistipes(239759);s__Alistipes_u_s(239759);t__Alistipes sp. AF17-16(2292190);
Alistipes sp. HGB5,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,Alistipes_u_s,Alistipes sp. HGB5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,583.01,908612,k__Bacteria(2);p__Bacteroidetes(976);c__Bacteroidia(200643);o__Bacteroidales(171549);f__Rikenellaceae(171550);g__Alistipes(239759);s__Alistipes_u_s(239759);t__Alistipes sp. HGB5(908612);
Alistipes sp. Marseille-P5061,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,Alistipes_u_s,Alistipes sp. Marseille-P5061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,398.25,0,0,0,0,0,0,0,0,2048242,k__Bacteria(2);p__Bacteroidetes(976);c__Bacteroidia(200643);o__Bacteroidales(171549);f__Rikenellaceae(171550);g__Alistipes(239759);s__Alistipes_u_s(239759);t__Alistipes sp. Marseille-P5061(2048242);
Allisonella histaminiformans,Bacteria,Firmicutes,Negativicutes,Veillonellales,Veillonellaceae,Allisonella,Allisonella histaminiformans,Allisonella histaminiformans,0,0,0,0,0,0,0,116.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,209880,k__Bacteria(2);p__Firmicutes(1239);c__Negativicutes(909932);o__Veillonellales(1843489);f__Veillonellaceae(31977);g__Allisonella(209879);s__Allisonella histaminiformans(209880);t__Allisonella histaminiformans(209880);
